term1,term2,label
accordion,lead,0.0
accordion,music,0.0
accordion,song,0.0
accordion,squeeze box,1.0
acinonyx jubatus,cheetah,1.0
acinonyx jubatus,chetah,1.0
acinonyx jubatus,tiger,0.0
adeptness,deftness,1.0
adeptness,finesse,0.0
air lane,air,0.0
air lane,plane,0.0
air lane,sky,0.0
air lane,skyway,1.0
air-sleeve,hanger,0.0
air-sleeve,windsock,1.0
airplane,aeroplane,1.0
airplane,flight,0.0
airplane,travel,0.0
alligator,croc,0.0
alligator,crocodile,0.0
alligator,gator,1.0
alligator,reptile,0.0
alligator,snake,0.0
ambulance,hospital,0.0
american bison,american buffalo,1.0
american bison,elk,0.0
anchor,ship,0.0
anchor,tv,0.0
anorak,cardigan,0.0
anorak,windbreaker,1.0
anorak,windcheater,1.0
ant,animal,0.0
ant,emmet,1.0
ant,insect,0.0
ant,pismire,1.0
anuran,rodent,0.0
anuran,salientian,1.0
apartment,bedroom,0.0
apartment,flat,1.0
apartment,house,0.0
apple,peach,0.0
apple,pear,0.0
apron,turnbuckle,0.0
armor,plating,0.0
armour,armor,1.0
armour,plating,0.0
army tank,armored combat vehicle,1.0
army tank,vehicle,0.0
army tank,army,0.0
ashtray,cigarette,0.0
asparagus,leek,0.0
auberge,building,0.0
auditory tube,ear,0.0
auditory tube,Eustachian tube,1.0
auditory tube,tube,0.0
auto,jeep,0.0
auto,ride,0.0
automobile,ride,0.0
avocado,asparagus,0.0
avocado,pineapple,0.0
ax,battle,0.0
ax,gun,0.0
axe,ax,1.0
axe,battle,0.0
axe,gun,0.0
baby-walker,baby,0.0
baby-walker,go-cart,1.0
bag,clothing,0.0
balcony,roof,0.0
ball,downfield,0.0
ball,upfield,0.0
balloon,helium,0.0
banana,melon,0.0
banana,pineapple,0.0
bandeau,brassiere,1.0
bandeau,cardigan,0.0
banjo,piano,0.0
banner,advertising,0.0
banner,streamer,1.0
barn,stable,0.0
barrel,cask,1.0
barrel,crude oil,0.0
barrel,crude,0.0
barrel,oil,0.0
basement,cellar,1.0
basement,closet,0.0
basement,garage,0.0
basement,hallway,0.0
basket,drink,0.0
basket,handbasket,1.0
basket,jumper,0.0
basket,trey,0.0
bass horn,saxophone,0.0
bass horn,sousaphone,1.0
bat,animal,0.0
bathing costume,bathing suit,1.0
bathing costume,lingerie,0.0
bathing costume,swimming costume,1.0
bathing costume,swimsuit,1.0
bathing costume,swimwear,1.0
bathing suit,lingerie,0.0
bathing suit,swimsuit,1.0
bathing suit,swimwear,1.0
bathing tub,bathroom,0.0
bathing tub,bathtub,1.0
bathing tub,bubble,0.0
bathing tub,couch,0.0
bathing tub,tub,1.0
baton,pistol,0.0
batrachian,anuran,1.0
batrachian,rodent,0.0
batrachian,toad,1.0
bayonet,rifle,0.0
bayonet,weapon,0.0
bazooka,machinegun,0.0
bazooka,pistol,0.0
bean,rice,0.0
bear,cougar,0.0
bear,grizzly,0.0
bear,wolf,0.0
beaver,moose,0.0
beaver,otter,0.0
beaver,wolf,0.0
bed,duvet,0.0
bed,mattress,0.0
bed,pillow,0.0
bed,sofa,0.0
bedchamber,house,0.0
bedroom,bedchamber,1.0
bedroom,house,0.0
bedroom,sleeping room,1.0
beehive,bee,0.0
beehive,hive,1.0
beetle,insect,0.0
Beijing,Peiping,1.0
belt,bucke,0.0
bench,justice,0.0
bike,scooter,0.0
bin,binbag,0.0
birch,oak,0.0
birch,pine,0.0
biscuit,cupcake,0.0
bison,grizzly,0.0
blackbird,merl,1.0
blackbird,ousel,1.0
blackbird,ouzel,1.0
blackbird,sparrow,0.0
blender,liquidiser,1.0
blender,liquidizer,1.0
blender,puree,0.0
blouse,dress,0.0
blue jay,bluejay,1.0
blue jay,jaybird,1.0
blue jay,winter wren,0.0
blueberry,cherry,0.0
bluejay,jaybird,1.0
bluejay,winter wren,0.0
blurriness,artefacting,1.0
blurriness,fuzziness,1.0
board,director,0.0
boat,vehicle,0.0
bobcat,moose,0.0
bolt,screw,0.0
bomb,explosion,0.0
book,cookbook,0.0
bookcase,bookshelf,0.0
bookcase,drawer,0.0
boot,heel,0.0
bottle,liter,0.0
bouquet,corsage,1.0
bouquet,nosegay,1.0
bouquet,posy,1.0
bouquet,rose,0.0
bow,forelock,0.0
bowl,ladle,0.0
box,post,0.0
bra,bandeau,1.0
bra,breast,0.0
bra,thong,0.0
bra,undergarment,0.0
brain stem,brain,0.0
brain stem,neuron,0.0
brain-stem,brain,0.0
